eng_name;fi_name
Antigua and Barbuda;Antigua ja Barbuda
Austria;Itävalta
Azerbaijan;Azerbaidžan
Belarus;Valko-Venäjä
Belgium;Belgia
Bonaire Sint Eustatius and Saba;Alankomaiden Karibia
Bosnia and Herzegovina;Bosnia ja Hertsegovina
Brazil;Brasilia
British Virgin Islands;Brittiläiset Neitsytsaaret
Cambodia;Kambodža
Cameroon;Kamerun
Canada;Kanada
Cape Verde;Kap Verde
Cayman Islands;Caymansaaret
Central African Republic;Keski-Afrikan tasavalta
Chad;Tšad
China;Kiina
Comoros;Komorit
Congo;Kongon tasavalta
Cook Islands;Cookinsaaret
Cote d'Ivoire;Norsunluurannikko
Croatia;Kroatia
Cuba;Kuuba
Curacao;Curaçao
Cyprus;Kypros
Czechia;Tšekki
Democratic Republic of Congo;Kongon demokraattinen tasavalta
Denmark;Tanska
Dominica;Dominica
Dominican Republic;Dominikaaninen tasavalta
Egypt;Egypti
England;Englanti
Equatorial Guinea;Päiväntasaajan Guinea
Estonia;Viro
Eswatini;Eswatini
Ethiopia;Etiopia
Faeroe Islands;Fäärsaaret
Falkland Islands;Falklandinsaaret
Fiji;Fidži
Finland;Suomi
France;Ranska
French Polynesia;Ranskan Polynesia
Germany;Saksa
Greece;Kreikka
Greenland;Grönlanti
Guyana;Guyana
Hungary;Unkari
Iceland;Islanti
India;Intia
Iraq;Irak
Ireland;Irlanti
Isle of Man;Mansaari
Italy;Italia
Jamaica;Jamaika
Japan;Japani
Jordan;Jordania
Kazakhstan;Kazakstan
Kenya;Kenia
Kyrgyzstan;Kirgisia
Latvia;Latvia
Lebanon;Libanon
Lithuania;Liettua
Luxembourg;Luxemburg
Madagascar;Madagaskar
Malaysia;Malesia
Maldives;Malediivit
Malta;Malta
Mauritania;Mauritania
Mexico;Mexiko
Monaco;Monaco
Morocco;Marokko
Mozambique;Mosambik
Nepal;Nepal
Netherlands;Alankomaat
New Caledonia;Uusi-Kaledonia
New Zealand;Uusi-Seelanti
Nicaragua;Nicaragua
North Macedonia;Pohjois-Makedonia
Northern Cyprus;Pohjois-Kypros
Northern Ireland;Pohjois-Irlanti
Norway;Norja
Palestine;Palestiina
Papua New Guinea;Papua-Uusi-Guinea
Paraguay;Paraguay
Philippines;Filippiinit
Poland;Puola
Portugal;Portugali
Russia;Venäjä
Saint Kitts and Nevis;Saint Kitts ja Nevis
Saint Vincent and the Grenadines;Saint Vincent ja the Grenadines
Sao Tome and Principe;São Tomé ja Príncipe
Saudi Arabia;Saudi-Arabia
Scotland;Skotlanti
Seychelles;Seychellit
Sint Maarten (Dutch part);Sint Maarten (Alankomaat)
Solomon Islands;Solomonsaaret
South Africa;Etelä-Afrikka
South Korea;Etelä-Korea
South Sudan;Etelä-Sudan
Spain;Espanja
Suriname;Suriname
Sweden;Ruotsi
Switzerland;Sveitsi
Syria;Syyria
Tajikistan;Tadžikistan
Tanzania;Tansania
Thailand;Thaimaa
Timor;Timor
Tokelau;Tokelau
Trinidad and Tobago;Trinidad ja Tobago
Turkey;Turkki
Turks and Caicos Islands;Turks- ja Caicossaaret
Ukraine;Ukraina
United Arab Emirates;Yhdistyneet arabiemiirikunnat
United Kingdom;Iso-Britannia ja Pohjois-Irlanti
United States;Yhdysvallat
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Wallis and Futuna;Wallis ja Futuna
Yemen;Jemen
Zambia;Sambia
Zimbabwe;Zimbabwe
Sint Maarten (Dutch part);Sint Maarten (Alankomaat)
